Date,Date,Energy,diff,Energy_log,Energy_log_diff
1954-05-01,1954-05-01,12.5292,-0.2583000000000002,2.5280619201019277,0.050750709435758434
1954-06-01,1954-06-01,12.7359,0.20670000000000144,2.544424777312408,0.05418238793488861
1954-07-01,1954-07-01,13.0717,0.335799999999999,2.5704495880378944,0.06533189763376335
1954-08-01,1954-08-01,13.4076,0.33590000000000053,2.5958217103591554,0.07603870639207644
1954-09-01,1954-09-01,13.4592,0.05159999999999876,2.599662887086189,0.07987988311910987
1954-10-01,1954-10-01,13.3559,-0.10329999999999906,2.5919582347817403,0.08053137518434461
1954-11-01,1954-11-01,13.4076,0.0517000000000003,2.5958217103591554,0.09070401995502442
1954-12-01,1954-12-01,14.0792,0.6715999999999998,2.644698530933864,0.10637750451122763
1955-01-01,1955-01-01,14.4925,0.41329999999999956,2.673631274231751,0.0816730394500107
1955-02-01,1955-02-01,14.4409,-0.051600000000000534,2.6700644583922477,0.10556135433310487
1955-03-01,1955-03-01,14.4409,0.0,2.6700644583922477,0.10954798859832815
1955-04-01,1955-04-01,14.2859,-0.15499999999999936,2.659273036848279,0.11080490557053402
1955-05-01,1955-05-01,14.0017,-0.28420000000000023,2.639178750814835,0.11111683071290734
1955-06-01,1955-06-01,14.1309,0.12920000000000087,2.6483638889355583,0.10393911162315028
1955-07-01,1955-07-01,14.4925,0.36159999999999926,2.673631274231751,0.10318168619385659
1955-08-01,1955-08-01,15.2159,0.7233999999999998,2.7223409337519957,0.12651922339284027
1955-09-01,1955-09-01,15.3192,0.10330000000000084,2.72910694362782,0.12944405654163127
1955-10-01,1955-10-01,15.035,-0.28420000000000023,2.7103808164404923,0.11842258165875208
1955-11-01,1955-11-01,15.1125,0.07750000000000057,2.715522215940911,0.11970050558175549
1955-12-01,1955-12-01,15.8876,0.7751000000000001,2.7655389307522547,0.12084039981839068
1956-01-01,1956-01-01,16.4559,0.5682999999999989,2.8006840755213025,0.12705280128955154
1956-02-01,1956-02-01,16.2492,-0.20670000000000144,2.7880436767946417,0.117979218402394
1956-03-01,1956-03-01,16.0942,-0.15499999999999758,2.778458958638152,0.10839450024590436
1956-04-01,1956-04-01,15.8876,-0.2065999999999999,2.7655389307522547,0.10626589390397578
1956-05-01,1956-05-01,15.7326,-0.15500000000000114,2.755734992667621,0.1165562418527859
1956-06-01,1956-06-01,15.8359,0.10330000000000084,2.7622795144980055,0.11391562556244716
1956-07-01,1956-07-01,16.0684,0.23249999999999993,2.776854610386832,0.10322333615508095
1956-08-01,1956-08-01,16.4559,0.3874999999999993,2.8006840755213025,0.07834314176930679
1956-09-01,1956-09-01,16.3526,-0.10330000000000084,2.7943869061074267,0.06527996247960655
1956-10-01,1956-10-01,16.0684,-0.28419999999999845,2.776854610386832,0.06647379394633957
1956-11-01,1956-11-01,16.0684,0.0,2.776854610386832,0.06133239444592098
1956-12-01,1956-12-01,16.7917,0.7232999999999983,2.8208847167084294,0.05534578595617479
1957-01-01,1957-01-01,17.5409,0.7492000000000019,2.8645352969161415,0.06385122139483901
1957-02-01,1957-02-01,17.3084,-0.2325000000000017,2.8511919327958446,0.06314825600120288
1957-03-01,1957-03-01,17.0759,-0.23249999999999815,2.8376681127061625,0.05920915406801042
1957-04-01,1957-04-01,16.7917,-0.284200000000002,2.8208847167084294,0.05534578595617479
1957-05-01,1957-05-01,16.5076,-0.2840999999999987,2.803820880920732,0.048085888253111
1957-06-01,1957-06-01,16.7142,0.20660000000000167,2.8162586575241653,0.053979143026159804
1957-07-01,1957-07-01,17.3859,0.6716999999999977,2.855659532886046,0.07880492249921422
1957-08-01,1957-08-01,17.9284,0.5425000000000004,2.8863860477178234,0.08570197219652087
1957-09-01,1957-09-01,17.6701,-0.2582999999999984,2.8718739456251554,0.07748703951772873
1957-10-01,1957-10-01,17.1792,-0.4908999999999999,2.8436993496977343,0.0668447393109024
1957-11-01,1957-11-01,17.2309,0.05169999999999675,2.8467042836504186,0.06984967326358671
1957-12-01,1957-12-01,17.8767,0.6458000000000013,2.8834981889529923,0.06261347224456282
1958-01-01,1958-01-01,18.4967,0.620000000000001,2.9175923377945856,0.053057040878444095
1958-02-01,1958-02-01,18.1867,-0.3100000000000023,2.900690557709992,0.04949862491414736
1958-03-01,1958-03-01,17.9542,-0.23249999999999815,2.887824070851376,0.050155958145213564
1958-04-01,1958-04-01,17.3342,-0.620000000000001,2.8526814286633595,0.03179671195493006
1958-05-01,1958-05-01,16.9984,-0.335799999999999,2.8331192219798136,0.02929834105908169
1958-06-01,1958-06-01,17.4376,0.4391999999999996,2.8586287943321658,0.0423701368080005
1958-07-01,1958-07-01,17.9284,0.4908000000000001,2.8863860477178234,0.03072651483177724
1958-08-01,1958-08-01,18.6517,0.7233000000000018,2.9259372947506725,0.03955124703284918
1958-09-01,1958-09-01,18.7034,0.05169999999999675,2.9287053255154367,0.05683137989028131
1958-10-01,1958-10-01,18.1351,-0.5682999999999971,2.897849286918725,0.05414993722099082
1958-11-01,1958-11-01,18.0576,-0.07750000000000057,2.893566648792684,0.04686236514226527
1958-12-01,1958-12-01,19.0134,0.9558,2.945143993743144,0.061645804790151804
1959-01-01,1959-01-01,20.0209,1.0075000000000003,2.996776727921582,0.07918439012699618
1959-02-01,1959-02-01,19.6851,-0.33580000000000254,2.979862004392958,0.07917144668296583
1959-03-01,1959-03-01,19.5817,-0.10339999999999705,2.9745954566225112,0.08677138577113519
1959-04-01,1959-04-01,19.1167,-0.46499999999999986,2.950562298584913,0.09788086992155343
1959-05-01,1959-05-01,18.9876,-0.1291000000000011,2.943786134530801,0.11066691255098737
